Word,Frequency
skin,1.0
product,0.8131788559015206
use,0.720492396813903
face,0.5235336712527154
one,0.4214337436640116
s,0.4040550325850833
love,0.391020999275887
mask,0.3736422881969587
using,0.3591600289645185
feel,0.33598841419261405
lip,0.3120926864590876
sunscreen,0.30123099203475745
used,0.2889210716871832
great,0.27588703837798695
toner,0.26937002172338886
really,0.2606806661839247
good,0.25778421433743665
make,0.2440260680666184
smell,0.23823316437364228
work,0.222302679217958
leave,0.2172338884866039
will,0.21361332367849384
well,0.20637219406227372
day,0.20637219406227372
time,0.19840695148443158
dry,0.1788559015206372
even,0.17595944967414917
soft,0.16220130340333092
lip balm,0.16002896451846488
y,0.1564083997103548
smooth,0.15351194786386677
much,0.15351194786386677
apply,0.15206372194062273
nice,0.1397538015930485
now,0.13830557566980448
help,0.1339608979000724
sensitive skin,0.1332367849384504
try,0.12889210716871832
best,0.12816799420709632
little,0.12816799420709632
brand,0.1274438812454743
scent,0.12527154236060825
clean,0.12527154236060825
look,0.12309920347574221
always,0.12309920347574221
year,0.1216509775524982
m,0.12020275162925416
say,0.11803041274438812
bought,0.11803041274438812
week,0.1165821868211441
keep,0.11585807385952208
easy,0.11585807385952208
need,0.11513396089790007
tried,0.11513396089790007
ve,0.11440984793627806
go,0.11151339608979001
de,0.11151339608979001
still,0.11151339608979001
pore,0.11006517016654598
price,0.11006517016654598
better,0.10789283128167994
lot,0.1057204923968139
without,0.10499637943519188
scrub,0.10427226647356988
give,0.10354815351194786
don t,0.10137581462708183
put,0.10065170166545981
way,0.09920347574221579
last,0.09920347574221579
never,0.09775524981897175
first,0.09775524981897175
bit,0.09630702389572773
looking,0.09558291093410572
think,0.09485879797248371
buy,0.0941346850108617
moisturizer,0.09268645908761766
e,0.09268645908761766
skin feel,0.09196234612599566
amazing,0.09123823316437364
ingredient,0.09123823316437364
doesn t,0.09051412020275162
highly recommend,0.08979000724112962
bottle,0.08761766835626358
recommend,0.08689355539464157
super,0.08689355539464157
texture,0.08616944243301955
perfect,0.08544532947139753
serum,0.08544532947139753
got,0.08544532947139753
night,0.08399710354815351
oily,0.08399710354815351
moisturizing,0.08399710354815351
hydrating,0.0832729905865315
result,0.0832729905865315
something,0.08254887762490949
see,0.08110065170166546
find,0.08110065170166546
makeup,0.07965242577842144
light,0.07603186097031137
oil,0.07603186097031137
noticed,0.07530774800868936
gentle,0.07458363504706735
cream,0.07458363504706735
seem,0.07458363504706735
thing,0.07458363504706735
hydrated,0.07385952208544533
enough,0.07313540912382331
definitely,0.07313540912382331
review,0.07313540912382331
long,0.07313540912382331
color,0.07313540912382331
hand,0.07313540912382331
water,0.07168718320057929
que,0.07096307023895727
goes,0.07096307023895727
difference,0.06951484431571325
easily,0.06951484431571325
Overall,0.06879073135409124
eye,0.06879073135409124
favorite,0.06806661839246922
clear,0.06806661839246922
exfoliating,0.06806661839246922
found,0.06734250543084722
left,0.06734250543084722
come,0.06734250543084722
felt,0.06734250543084722
different,0.0666183924692252
effective,0.06589427950760318
greasy,0.06589427950760318
going,0.06517016654598118
back,0.06517016654598118
SPF,0.06517016654598118
take,0.06444605358435916
made,0.06444605358435916
stuff,0.06299782766111513
minute,0.062273714699493124
far,0.062273714699493124
month,0.062273714699493124
formula,0.06154960173787111
breakout,0.06154960173787111
especially,0.0608254887762491
en,0.0608254887762491
happy,0.06010137581462708
want,0.06010137581462708
know,0.06010137581462708
issue,0.06010137581462708
actually,0.05937726285300507
body,0.05865314989138305
acne,0.05792903692976104
chapstick,0.05792903692976104
dry skin,0.05792903692976104
around,0.05720492396813903
lotion,0.05720492396813903
hour,0.05720492396813903
two,0.056480811006517015
cleanser,0.055756698044895005
size,0.055756698044895005
quality,0.055756698044895005
daily,0.05503258508327299
buying,0.05503258508327299
skin feeling,0.05503258508327299
people,0.05430847212165098
facial,0.05358435916002897
face mask,0.05358435916002897
every,0.05286024619840695
burn,0.05286024619840695
money,0.05286024619840695
small,0.05286024619840695
sun,0.05286024619840695
wash,0.05213613323678494
routine,0.05213613323678494
hydration,0.05213613323678494
Amazon,0.05213613323678494
less,0.05213613323678494
skincare routine,0.05213613323678494
purchase,0.05141202027516292
sticky,0.05141202027516292
glow,0.05141202027516292
moisturized,0.05068790731354091
new,0.05068790731354091
shower,0.05068790731354091
tube,0.05068790731354091
worth,0.0499637943519189
spray,0.0499637943519189
morning,0.049239681390296886
getting,0.049239681390296886
area,0.049239681390296886
natural,0.049239681390296886
hard,0.049239681390296886
pack,0.049239681390296886
moisture,0.048515568428674875
expensive,0.048515568428674875
anything,0.04779145546705286
irritation,0.04779145546705286
dead skin,0.04779145546705286
sure,0.04706734250543085
thought,0.04706734250543085
pretty,0.04706734250543085
almost,0.04706734250543085
came,0.04706734250543085
